algorithm,mempool_pressure,pqc_adoption_pct,total_txs_in_mempool,block_txs_included,block_fee_revenue_sat,ecdsa_inclusion_rate,pqc_inclusion_rate,fee_premium_pct,pqc_txs_stuck
FALCON-512,low,50.0,4683,1726,52111789.84,0.3682,0.369,3.0,1481
FALCON-512,medium,50.0,14049,1723,82092040.18,0.1235,0.1218,1.35,6253
FALCON-512,high,50.0,46830,1754,120232603.42,0.0383,0.0366,0.97,22598
FALCON-1024,low,50.0,4683,1027,65660968.4,0.2145,0.2241,-4.05,1821
FALCON-1024,medium,50.0,14049,1034,98419999.25,0.0735,0.0737,-1.03,6595
FALCON-1024,high,50.0,46830,1083,138592536.21,0.0242,0.0221,-0.77,22938
Dilithium2 (ML-DSA-44),low,50.0,4683,878,70207154.24,0.1841,0.1909,-1.89,1899
Dilithium2 (ML-DSA-44),medium,50.0,14049,886,103908766.58,0.0634,0.0628,1.13,6673
Dilithium2 (ML-DSA-44),high,50.0,46830,912,144641987.28,0.02,0.0189,-2.49,23012
Dilithium3 (ML-DSA-65),low,50.0,4683,675,78826357.71,0.1464,0.1419,4.87,2014
Dilithium3 (ML-DSA-65),medium,50.0,14049,663,113961802.11,0.0475,0.0469,0.02,6786
Dilithium3 (ML-DSA-65),high,50.0,46830,687,155802232.19,0.0152,0.0142,-4.8,23124
Dilithium5 (ML-DSA-87),low,50.0,4683,520,87783029.8,0.1152,0.1069,10.08,2096
Dilithium5 (ML-DSA-87),medium,50.0,14049,504,124165663.05,0.0364,0.0354,-0.33,6868
Dilithium5 (ML-DSA-87),high,50.0,46830,537,167099578.4,0.0123,0.0107,-2.57,23206
SPHINCS+-128s,low,50.0,4683,473,90650799.32,0.1036,0.0984,7.4,2116
SPHINCS+-128s,medium,50.0,14049,473,127377832.91,0.0349,0.0324,2.19,6889
SPHINCS+-128s,high,50.0,46830,509,170690861.84,0.012,0.0098,-1.43,23227
SPHINCS+-256s,low,50.0,4683,155,136090618.65,0.0385,0.0277,14.78,2282
SPHINCS+-256s,medium,50.0,14049,155,180454329.1,0.013,0.0091,7.26,7055
SPHINCS+-256s,high,50.0,46830,155,230074203.93,0.0039,0.0028,-3.4,23391
