algorithm,pqc_adoption_pct,txs_per_block,effective_tps,ecdsa_inclusion_rate,pqc_inclusion_rate,fee_premium_pct,block_weight_utilization,critical_50pct_tps_threshold,fee_2x_threshold
FALCON-512,0.0,4683,7.805,0.3333,0.0,-100.0,0.9998,35.0,
FALCON-512,5.0,4018,6.697,0.2861,0.2834,4.33,1.0,35.0,
FALCON-512,10.0,3536,5.893,0.2521,0.2474,3.64,0.9999,35.0,
FALCON-512,15.0,3171,5.285,0.2285,0.2098,0.75,1.0,35.0,
FALCON-512,20.0,2768,4.613,0.1955,0.2033,-1.48,0.9999,35.0,
FALCON-512,25.0,2515,4.192,0.1792,0.1785,1.13,0.9999,35.0,
FALCON-512,30.0,2361,3.935,0.17,0.1633,-2.26,0.9998,35.0,
FALCON-512,35.0,2140,3.567,0.1535,0.1502,-0.73,1.0,35.0,
FALCON-512,40.0,1996,3.327,0.1422,0.1419,-1.26,0.9999,35.0,
FALCON-512,45.0,1883,3.138,0.1365,0.131,-2.02,0.9998,35.0,
FALCON-512,50.0,1733,2.888,0.1236,0.1231,0.4,0.9999,35.0,
FALCON-512,55.0,1610,2.683,0.1136,0.1154,-1.52,0.9998,35.0,
FALCON-512,60.0,1545,2.575,0.1129,0.108,4.06,0.9998,35.0,
FALCON-512,65.0,1450,2.417,0.1028,0.1034,3.68,0.9999,35.0,
FALCON-512,70.0,1399,2.332,0.105,0.0973,1.74,1.0,35.0,
FALCON-512,75.0,1313,2.188,0.092,0.094,-0.73,0.9998,35.0,
FALCON-512,80.0,1279,2.132,0.1005,0.0887,-3.22,0.9999,35.0,
FALCON-512,85.0,1201,2.002,0.0873,0.0852,-0.67,1.0,35.0,
FALCON-512,90.0,1156,1.927,0.0857,0.0819,1.51,0.9999,35.0,
FALCON-512,95.0,1102,1.837,0.0819,0.0783,-1.12,1.0,35.0,
FALCON-512,100.0,1061,1.768,0.0,0.0755,0.0,1.0,35.0,
FALCON-1024,0.0,4683,7.805,0.3333,0.0,-100.0,0.9998,15.0,
