algorithm,pqc_adoption_pct,effective_tps,avg_gas_per_tx,block_utilization,base_fee_gwei,consensus_phase,attestation_bandwidth_mbps,gas_limit_increase_threshold,consensus_feasibility
FALCON-512,0.0,44.0,56720.0,0.2836,28.377,bls,0.03,50.0,True
FALCON-512,0.0,44.0,56720.0,0.2836,28.377,pqc,52.04,50.0,True
FALCON-512,5.0,42.917,58193.0,0.291,28.4322,bls,0.03,50.0,True
FALCON-512,5.0,42.917,58193.0,0.291,28.4322,pqc,52.04,50.0,True
FALCON-512,10.0,41.833,59665.0,0.2983,28.4874,bls,0.03,50.0,True
FALCON-512,10.0,41.833,59665.0,0.2983,28.4874,pqc,52.04,50.0,True
FALCON-512,15.0,40.833,61138.0,0.3057,28.5427,bls,0.03,50.0,True
FALCON-512,15.0,40.833,61138.0,0.3057,28.5427,pqc,52.04,50.0,True
FALCON-512,20.0,39.917,62610.0,0.3131,28.5979,bls,0.03,50.0,True
FALCON-512,20.0,39.917,62610.0,0.3131,28.5979,pqc,52.04,50.0,True
FALCON-512,25.0,39.0,64083.0,0.3204,28.6531,bls,0.03,50.0,True
FALCON-512,25.0,39.0,64083.0,0.3204,28.6531,pqc,52.04,50.0,True
FALCON-512,30.0,38.083,65556.0,0.3278,28.7083,bls,0.03,50.0,True
FALCON-512,30.0,38.083,65556.0,0.3278,28.7083,pqc,52.04,50.0,True
FALCON-512,35.0,37.25,67028.0,0.3351,28.7636,bls,0.03,50.0,True
FALCON-512,35.0,37.25,67028.0,0.3351,28.7636,pqc,52.04,50.0,True
FALCON-512,40.0,36.417,68501.0,0.3425,28.8188,bls,0.03,50.0,True
FALCON-512,40.0,36.417,68501.0,0.3425,28.8188,pqc,52.04,50.0,True
FALCON-512,45.0,35.667,69973.0,0.3499,28.874,bls,0.03,50.0,True
FALCON-512,45.0,35.667,69973.0,0.3499,28.874,pqc,52.04,50.0,True
FALCON-512,50.0,34.917,71446.0,0.3572,28.9292,bls,0.03,50.0,True
FALCON-512,50.0,34.917,71446.0,0.3572,28.9292,pqc,52.04,50.0,True
FALCON-512,55.0,34.25,72919.0,0.3646,28.9844,bls,0.03,50.0,True
FALCON-512,55.0,34.25,72919.0,0.3646,28.9844,pqc,52.04,50.0,True
FALCON-512,60.0,33.583,74391.0,0.372,29.0397,bls,0.03,50.0,True
FALCON-512,60.0,33.583,74391.0,0.372,29.0397,pqc,52.04,50.0,True
FALCON-512,65.0,32.917,75864.0,0.3793,29.0949,bls,0.03,50.0,True
FALCON-512,65.0,32.917,75864.0,0.3793,29.0949,pqc,52.04,50.0,True
FALCON-512,70.0,32.25,77336.0,0.3867,29.1501,bls,0.03,50.0,True
FALCON-512,70.0,32.25,77336.0,0.3867,29.1501,pqc,52.04,50.0,True
FALCON-512,75.0,31.667,78809.0,0.394,29.2053,bls,0.03,50.0,True
FALCON-512,75.0,31.667,78809.0,0.394,29.2053,pqc,52.04,50.0,True
FALCON-512,80.0,31.083,80282.0,0.4014,29.2606,bls,0.03,50.0,True
FALCON-512,80.0,31.083,80282.0,0.4014,29.2606,pqc,52.04,50.0,True
FALCON-512,85.0,30.5,81754.0,0.4088,29.3158,bls,0.03,50.0,True
FALCON-512,85.0,30.5,81754.0,0.4088,29.3158,pqc,52.04,50.0,True
FALCON-512,90.0,30.0,83227.0,0.4161,29.371,bls,0.03,50.0,True
FALCON-512,90.0,30.0,83227.0,0.4161,29.371,pqc,52.04,50.0,True
FALCON-512,95.0,29.5,84699.0,0.4235,29.4262,bls,0.03,50.0,True
FALCON-512,95.0,29.5,84699.0,0.4235,29.4262,pqc,52.04,50.0,True
FALCON-512,100.0,29.0,86172.0,0.4309,29.4814,bls,0.03,50.0,True
FALCON-512,100.0,29.0,86172.0,0.4309,29.4814,pqc,52.04,50.0,True
FALCON-1024,0.0,44.0,56720.0,0.2836,28.377,bls,0.03,25.0,True
FALCON-1024,0.0,44.0,56720.0,0.2836,28.377,pqc,92.27,25.0,True
FALCON-1024,5.0,41.833,59756.0,0.2988,28.4908,bls,0.03,25.0,True
FALCON-1024,5.0,41.833,59756.0,0.2988,28.4908,pqc,92.27,25.0,True
FALCON-1024,10.0,39.75,62791.0,0.314,28.6047,bls,0.03,25.0,True
FALCON-1024,10.0,39.75,62791.0,0.314,28.6047,pqc,92.27,25.0,True
FALCON-1024,15.0,37.917,65827.0,0.3291,28.7185,bls,0.03,25.0,True
FALCON-1024,15.0,37.917,65827.0,0.3291,28.7185,pqc,92.27,25.0,True
FALCON-1024,20.0,36.25,68862.0,0.3443,28.8323,bls,0.03,25.0,True
FALCON-1024,20.0,36.25,68862.0,0.3443,28.8323,pqc,92.27,25.0,True
FALCON-1024,25.0,34.75,71898.0,0.3595,28.9462,bls,0.03,25.0,True
FALCON-1024,25.0,34.75,71898.0,0.3595,28.9462,pqc,92.27,25.0,True
FALCON-1024,30.0,33.333,74934.0,0.3747,29.06,bls,0.03,25.0,True
FALCON-1024,30.0,33.333,74934.0,0.3747,29.06,pqc,92.27,25.0,True
FALCON-1024,35.0,32.0,77969.0,0.3898,29.1738,bls,0.03,25.0,True
FALCON-1024,35.0,32.0,77969.0,0.3898,29.1738,pqc,92.27,25.0,True
FALCON-1024,40.0,30.833,81005.0,0.405,29.2877,bls,0.03,25.0,True
FALCON-1024,40.0,30.833,81005.0,0.405,29.2877,pqc,92.27,25.0,True
FALCON-1024,45.0,29.667,84040.0,0.4202,29.4015,bls,0.03,25.0,True
FALCON-1024,45.0,29.667,84040.0,0.4202,29.4015,pqc,92.27,25.0,True
FALCON-1024,50.0,28.667,87076.0,0.4354,29.5153,bls,0.03,25.0,True
FALCON-1024,50.0,28.667,87076.0,0.4354,29.5153,pqc,92.27,25.0,True
FALCON-1024,55.0,27.667,90112.0,0.4506,29.6292,bls,0.03,25.0,True
FALCON-1024,55.0,27.667,90112.0,0.4506,29.6292,pqc,92.27,25.0,True
FALCON-1024,60.0,26.833,93147.0,0.4657,29.743,bls,0.03,25.0,True
FALCON-1024,60.0,26.833,93147.0,0.4657,29.743,pqc,92.27,25.0,True
FALCON-1024,65.0,25.917,96183.0,0.4809,29.8569,bls,0.03,25.0,True
FALCON-1024,65.0,25.917,96183.0,0.4809,29.8569,pqc,92.27,25.0,True
FALCON-1024,70.0,25.167,99218.0,0.4961,29.9707,bls,0.03,25.0,True
FALCON-1024,70.0,25.167,99218.0,0.4961,29.9707,pqc,92.27,25.0,True
FALCON-1024,75.0,24.417,102254.0,0.5113,30.0845,bls,0.03,25.0,True
FALCON-1024,75.0,24.417,102254.0,0.5113,30.0845,pqc,92.27,25.0,True
FALCON-1024,80.0,23.667,105290.0,0.5264,30.1984,bls,0.03,25.0,True
FALCON-1024,80.0,23.667,105290.0,0.5264,30.1984,pqc,92.27,25.0,True
FALCON-1024,85.0,23.0,108325.0,0.5416,30.3122,bls,0.03,25.0,True
FALCON-1024,85.0,23.0,108325.0,0.5416,30.3122,pqc,92.27,25.0,True
FALCON-1024,90.0,22.417,111361.0,0.5568,30.426,bls,0.03,25.0,True
FALCON-1024,90.0,22.417,111361.0,0.5568,30.426,pqc,92.27,25.0,True
FALCON-1024,95.0,21.833,114396.0,0.572,30.5399,bls,0.03,25.0,True
FALCON-1024,95.0,21.833,114396.0,0.572,30.5399,pqc,92.27,25.0,True
FALCON-1024,100.0,21.25,117432.0,0.5872,30.6537,bls,0.03,25.0,True
FALCON-1024,100.0,21.25,117432.0,0.5872,30.6537,pqc,92.27,25.0,True
Dilithium2 (ML-DSA-44),0.0,44.0,56720.0,0.2836,28.377,bls,0.03,25.0,False
Dilithium2 (ML-DSA-44),0.0,44.0,56720.0,0.2836,28.377,pqc,166.99,25.0,False
Dilithium2 (ML-DSA-44),5.0,41.583,60113.0,0.3006,28.5042,bls,0.03,25.0,False
Dilithium2 (ML-DSA-44),5.0,41.583,60113.0,0.3006,28.5042,pqc,166.99,25.0,False
Dilithium2 (ML-DSA-44),10.0,39.333,63506.0,0.3175,28.6315,bls,0.03,25.0,False
Dilithium2 (ML-DSA-44),10.0,39.333,63506.0,0.3175,28.6315,pqc,166.99,25.0,False
Dilithium2 (ML-DSA-44),15.0,37.333,66899.0,0.3345,28.7587,bls,0.03,25.0,False
Dilithium2 (ML-DSA-44),15.0,37.333,66899.0,0.3345,28.7587,pqc,166.99,25.0,False
Dilithium2 (ML-DSA-44),20.0,35.5,70292.0,0.3515,28.8859,bls,0.03,25.0,False
