chain,pqc_fraction,seed,num_blocks,avg_block_size_bytes,avg_txs_per_block,avg_propagation_p50_ms,avg_propagation_p90_ms,avg_propagation_p95_ms,stale_rate,effective_tps,avg_verification_time_ms,max_verification_time_ms,verification_failure_rate,verification_failures,block_time_ms,mempool_total_accepted,mempool_total_evicted,mempool_total_rejected,mempool_final_size_bytes,mempool_final_tx_count,total_tx_generated,algo_counts_Ed25519,algo_distribution_Ed25519,algo_counts_ML-DSA-44,algo_counts_ML-DSA-65,algo_counts_SLH-DSA-128f,algo_distribution_ML-DSA-44,algo_distribution_ML-DSA-65,algo_distribution_SLH-DSA-128f
solana,0.0,1,25,577307.92,1668.52,106.1857606518794,182.77245151128457,200.30430565888346,0.0,4171.3,10.0918,58.9714,0.0,0,400,41713,0,0,0,0,41713,41713,1.0,,,,,,
solana,0.0,2,25,575453.36,1663.16,118.08802445703887,197.02357115666547,224.62834805055508,0.0,4157.900000000001,12.564,58.625,0.0,0,400,41579,0,0,0,0,41579,41579,1.0,,,,,,
solana,0.0,3,25,574152.4,1659.4,104.44221210622771,171.2135880844029,192.49625311479684,0.0,4148.5,11.2834,59.3084,0.0,0,400,41485,0,0,0,0,41485,41485,1.0,,,,,,
solana,0.0,4,25,571218.32,1650.92,98.8019326962803,188.386338103487,210.5516275503032,0.0,4127.3,10.5942,60.04,0.0,0,400,41273,0,0,0,0,41273,41273,1.0,,,,,,
solana,0.0,5,25,575162.72,1662.32,123.13216338501205,194.28736846128496,216.51042528317257,0.0,4155.8,11.2912,59.2578,0.0,0,400,41558,0,0,0,0,41558,41558,1.0,,,,,,
solana,0.0,6,25,577321.76,1668.56,100.84324808496666,187.67518753042853,203.36070881960575,0.0,4171.4,10.9706,58.9758,0.0,0,400,41714,0,0,0,0,41714,41714,1.0,,,,,,
solana,0.0,7,25,580491.12,1677.72,113.97246370538234,192.18213164283839,216.3877849488562,0.0,4194.3,11.4323,57.7437,0.0,0,400,41943,0,0,0,0,41943,41943,1.0,,,,,,
solana,0.0,8,25,576865.04,1667.24,117.23687970389719,180.58622448809842,197.02437836470733,0.0,4168.1,10.8532,60.4082,0.0,0,400,41681,0,0,0,0,41681,41681,1.0,,,,,,
solana,0.0,9,25,578428.96,1671.76,106.61128044758826,184.00883942348668,209.8611525324775,0.0,4179.4,9.4958,59.4336,0.0,0,400,41794,0,0,0,0,41794,41794,1.0,,,,,,
solana,0.0,10,25,577072.64,1667.84,104.1352838756825,178.28736980056746,190.32762781760044,0.0,4169.599999999999,10.003,59.6071,0.0,0,400,41696,0,0,0,0,41696,41696,1.0,,,,,,
solana,0.05,1,25,1157521.92,1668.52,112.08617678613919,181.0187101450273,201.54260657233644,0.0,4171.3,21.0541,116.3171,0.0,0,400,41713,0,0,0,0,41713,39656,0.9506868362381032,634,1014,409,0.015199098602354182,0.024308968427109053,0.009805096732433533
solana,0.05,2,25,1172132.72,1663.16,123.84705570904336,217.32494131118642,241.7593727983845,0.0,4157.900000000001,26.9051,122.5796,0.0,0,400,41579,0,0,0,0,41579,39492,0.9498063926501359,629,1028,430,0.01512782895211525,0.024724019336684385,0.010341759061064479
solana,0.05,3,25,1160533.08,1659.4,115.74542875248665,199.30406321375918,222.48420900014287,0.0,4148.5,23.9563,122.6174,0.0,0,400,41485,0,0,0,0,41485,39426,0.9503676027479812,633,1005,421,0.015258527178498252,0.024225623719416656,0.010148246354103893
solana,0.05,4,25,1171157.04,1650.92,116.69678307407179,200.24485522298227,218.4952319777881,0.0,4127.3,22.9347,144.8573,0.0,0,400,41273,0,0,0,0,41273,39180,0.9492888813510043,627,1032,434,0.015191529571390498,0.02500424006008771,0.010515349017517505
solana,0.05,5,25,1169843.96,1662.32,123.33705272213261,207.19333221331146,220.38953711814895,0.0,4155.8,24.136,127.8818,0.0,0,400,41558,0,0,0,0,41558,39484,0.9500938447471005,610,1035,429,0.014678280956735165,0.024904952115116223,0.010322922181048173
solana,0.05,6,25,1175280.24,1668.56,112.71366139391276,200.58929637304576,225.9789324013071,0.0,4171.4,23.4273,117.0018,0.0,0,400,41714,0,0,0,0,41714,39610,0.9495612983650573,650,1026,428,0.015582298508893897,0.024596058877115596,0.010260344248933212
solana,0.05,7,25,1164357.52,1677.72,133.13185469065823,221.4556950949829,252.66157380400378,0.0,4194.3,23.5423,107.7725,0.0,0,400,41943,0,0,0,0,41943,39831,0.9496459480723839,667,1048,397,0.015902534391912835,0.02498629091862766,0.009465226617075556
solana,0.05,8,25,1147246.52,1667.24,130.45021504036976,215.73182953993248,239.55223895424584,0.0,4168.1,22.3292,125.7697,0.0,0,400,41681,0,0,0,0,41681,39643,0.95110481994194,622,1021,395,0.014922866533912334,0.02449557352270819,0.009476740001439506
solana,0.05,9,25,1170228.96,1671.76,100.42926871238159,190.85772529671323,208.44131103799774,0.0,4179.4,19.7044,105.5794,0.0,0,400,41794,0,0,0,0,41794,39657,0.9488682586017132,645,1092,400,0.015432837249365937,0.02612815236636838,0.00957075178255252
solana,0.05,10,25,1149825.92,1667.84,124.3862570448371,202.3088001572826,225.6988526580741,0.0,4169.599999999999,20.6391,121.1107,0.0,0,400,41696,0,0,0,0,41696,39654,0.9510264773599386,620,1024,398,0.014869531849577898,0.024558710667689946,0.009545280122793553
solana,0.1,1,25,1761562.8,1668.52,116.0621428583313,213.01043875639624,234.29527805456704,0.0,4171.3,32.7529,201.1532,0.0,0,400,41713,0,0,0,0,41713,37541,0.8999832186608492,1276,2052,844,0.0305899839378611,0.04919329705367631,0.020233500347613453
solana,0.1,2,25,1754203.16,1663.16,155.15742565735033,250.00600740573037,277.7538548256517,0.0,4157.900000000001,40.5596,192.8641,0.0,0,400,41579,0,0,0,0,41579,37432,0.9002621515668967,1204,2109,834,0.028956925370980543,0.05072272060415113,0.02005820245797157
solana,0.1,3,25,1730584.16,1659.4,145.07701561038746,247.33462818543117,282.73111648843553,0.08,4148.5,36.0967,163.2502,0.0,0,400,41485,0,0,0,0,41485,37411,0.9017958298180065,1237,2014,823,0.029818006508376523,0.04854766783174642,0.019838495841870557
solana,0.1,4,25,1748046.08,1650.92,141.7134319877251,232.0319010849801,252.34800408433108,0.04,4127.3,34.6386,210.7559,0.0,0,400,41273,0,0,0,0,41273,37163,0.9004191602258135,1188,2078,844,0.028783950766845152,0.05034768492719211,0.02044920408014925
solana,0.1,5,25,1762021.4,1662.32,139.5981772924626,234.16996316009408,253.5586696282429,0.0,4155.8,37.0608,192.3265,0.0,0,400,41558,0,0,0,0,41558,37433,0.9007411328745368,1191,2075,859,0.028658741999133742,0.04993021800856634,0.020669907117763127
solana,0.1,6,25,1772114.72,1668.56,121.2094031912769,212.77936467242432,236.10449138773848,0.0,4171.4,36.0343,174.096,0.0,0,400,41714,0,0,0,0,41714,37523,0.8995301337680395,1323,2004,864,0.03171597065733327,0.048041424941266724,0.020712470633360503
solana,0.1,7,25,1773590.28,1677.72,136.0485458890748,234.45707181766448,268.4217764776943,0.0,4194.3,36.8185,169.9272,0.0,0,400,41943,0,0,0,0,41943,37721,0.899339579906063,1246,2139,837,0.029706983286841668,0.050997782705099776,0.019955654101995565
solana,0.1,8,25,1691614.28,1667.24,140.86559276943643,237.67179657954264,271.438499207135,0.04,4168.1,32.9417,165.2473,0.0,0,400,41681,0,0,0,0,41681,37655,0.9034092272258343,1260,2007,759,0.030229601017250064,0.04815143590604832,0.0182097358508673
solana,0.1,9,25,1759992.8,1671.76,106.43883783013784,203.37933202080617,234.426393619447,0.0,4179.4,30.0544,169.7017,0.0,0,400,41794,0,0,0,0,41794,37552,0.8985021773460306,1285,2148,809,0.03074604010144997,0.05139493707230703,0.01935684548021247
solana,0.1,10,25,1747533.04,1667.84,113.93649444117933,208.6644231405867,242.3429620938225,0.0,4169.599999999999,31.8091,193.8812,0.0,0,400,41696,0,0,0,0,41696,37529,0.9000623561013047,1283,2066,818,0.030770337682271682,0.04954911742133538,0.019618188795088257
solana,0.15,1,25,2322272.12,1668.52,120.45407112699033,229.83533806541084,265.96957776393606,0.0,4171.3,43.2866,273.4264,0.0,0,400,41713,0,0,0,0,41713,35543,0.8520844820559538,1890,3045,1235,0.045309615707333446,0.07299882530625944,0.029607076930453335
solana,0.15,2,25,2347597.08,1663.16,147.83403477189353,252.52163863288726,292.8675736590581,0.0,4157.900000000001,55.5258,253.4717,0.0,0,400,41579,0,0,0,0,41579,35424,0.8519685418119723,1806,3061,1288,0.04343538805647081,0.07361889415329854,0.030977175978258255
solana,0.15,3,25,2285052.2,1659.4,120.77134856246771,235.47525697995107,268.651776802504,0.0,4148.5,47.4966,226.1536,0.0,0,400,41485,0,0,0,0,41485,35385,0.8529589008075208,1877,3031,1192,0.0452452693744727,0.07306255272990238,0.028733277088104133
solana,0.15,4,25,2346047.84,1650.92,135.11078273892053,230.10345822265322,254.2605925999142,0.04,4127.3,46.6301,266.1688,0.0,0,400,41273,0,0,0,0,41273,35059,0.8494415235141618,1783,3166,1265,0.04320015506505464,0.0767087442153466,0.030649577205436967
solana,0.15,5,25,2363622.6,1662.32,140.13675903657844,237.6843333512847,266.31008091979834,0.04,4155.8,49.5869,271.3617,0.0,0,400,41558,0,0,0,0,41558,35277,0.8488618316569614,1833,3177,1271,0.044107031137205835,0.07644737475335675,0.030583762452476057
solana,0.15,6,25,2351787.96,1668.56,133.6275596295799,234.67182397602338,263.2351997154096,0.04,4171.4,47.6141,247.3902,0.0,0,400,41714,0,0,0,0,41714,35425,0.8492352687347173,1988,3043,1258,0.047657860670278565,0.07294912978856019,0.03015774080644388
solana,0.15,7,25,2397498.36,1677.72,134.7037784137778,246.9265534916571,293.84497409009504,0.0,4194.3,50.6666,218.1771,0.0,0,400,41943,0,0,0,0,41943,35583,0.8483656390816108,1827,3237,1296,0.043559115943065586,0.07717616765610472,0.03089907731921894
solana,0.15,8,25,2311041.28,1667.24,148.68435809131893,257.3915164062968,298.46721493791165,0.04,4168.1,45.6403,232.9551,0.0,0,400,41681,0,0,0,0,41681,35485,0.8513471365850147,1875,3122,1199,0.04498452532328879,0.07490223363163072,0.028766104460065736
solana,0.15,9,25,2348115.8,1671.76,118.98586724247401,230.816454048012,267.49043667039064,0.0,4179.4,40.671,231.9707,0.0,0,400,41794,0,0,0,0,41794,35495,0.8492845863042542,1875,3195,1229,0.04486289898071494,0.07644637986313825,0.029406134851892616
solana,0.15,10,25,2335839.52,1667.84,130.78285139851724,237.6407864147459,281.2534683153437,0.0,4169.599999999999,43.1542,265.0899,0.0,0,400,41696,0,0,0,0,41696,35482,0.8509689178818112,1875,3096,1243,0.04496834228702993,0.07425172678434382,0.029811013046815042
solana,0.2,1,25,2928270.12,1668.52,129.17670053932832,251.90415628410304,301.0842091641076,0.04,4171.3,54.8306,338.9009,0.0,0,400,41713,0,0,0,0,41713,33418,0.8011411310622588,2495,4135,1665,0.059813487402008966,0.09912976769831947,0.039915613837412794
solana,0.2,2,25,2949887.44,1663.16,160.90670283083017,281.952207397251,322.06710806861645,0.04,4157.900000000001,70.0846,324.1564,0.0,0,400,41579,0,0,0,0,41579,33312,0.8011736694004185,2482,4060,1725,0.05969359532456288,0.09764544601842276,0.04148728925659588
solana,0.2,3,25,2853480.32,1659.4,131.0950723440754,261.1215925863287,306.68838143769733,0.0,4148.5,59.9982,288.0615,0.0,0,400,41485,0,0,0,0,41485,33416,0.8054959623960468,2484,3974,1611,0.05987706399903579,0.09579366035916596,0.038833313245751476
solana,0.2,4,25,2909401.16,1650.92,138.28297633129947,253.25245862504434,284.8858284407062,0.0,4127.3,57.4805,344.2321,0.0,0,400,41273,0,0,0,0,41273,32996,0.7994572723087733,2457,4179,1641,0.05953044363142975,0.10125263489448308,0.03975964916531389
solana,0.2,5,25,2950960.2,1662.32,148.35157600481833,256.134491216844,303.7387402449778,0.04,4155.8,62.1913,336.2915,0.0,0,400,41558,0,0,0,0,41558,33207,0.7990519274267289,2472,4189,1690,0.05948313200827759,0.10079888348813706,0.04066605707685644
solana,0.2,6,25,2941120.72,1668.56,146.6715623763409,259.9611403222889,292.4454497814877,0.04,4171.4,59.6387,319.86,0.0,0,400,41714,0,0,0,0,41714,33346,0.7993958862731937,2586,4110,1672,0.061993575298460946,0.09852807211008295,0.040082466318262455
