chain,pqc_fraction,seed,num_blocks,avg_block_size_bytes,avg_txs_per_block,avg_propagation_p50_ms,avg_propagation_p90_ms,avg_propagation_p95_ms,stale_rate,effective_tps,avg_verification_time_ms,max_verification_time_ms,verification_failure_rate,algo_counts_Ed25519,algo_distribution_Ed25519,block_time_ms,mempool_final_size_bytes,mempool_final_tx_count,mempool_total_accepted,mempool_total_evicted,mempool_total_rejected,total_tx_generated,verification_failures,algo_counts_Falcon-512,algo_counts_ML-DSA-65,algo_counts_SLH-DSA-128f,algo_distribution_Falcon-512,algo_distribution_ML-DSA-65,algo_distribution_SLH-DSA-128f
solana,0.0,1,25,72369.36,209.16,134.91157764777364,199.98448186058448,226.5138396732174,0.0,522.9,1.2638,7.1682,0.0,5229,1.0,400,0,0,5229,0,0,5229,0,,,,,,
solana,0.0,2,25,72660.0,210.0,159.39034101161474,230.0648640776271,254.90246677382402,0.0,525.0,1.5858,7.2758,0.0,5250,1.0,400,0,0,5250,0,0,5250,0,,,,,,
solana,0.0,3,25,71898.8,207.8,142.25036319622382,206.45098240604977,231.96201204970973,0.0,519.5,1.4161,6.8213,0.0,5195,1.0,400,0,0,5195,0,0,5195,0,,,,,,
solana,0.0,4,25,71871.12,207.72,130.39212459226275,203.61792104031744,221.86803257261275,0.0,519.3,1.3342,7.0899,0.0,5193,1.0,400,0,0,5193,0,0,5193,0,,,,,,
solana,0.0,5,25,70473.28,203.68,155.8877939088099,225.00547981367575,242.61963803983977,0.0,509.20000000000005,1.3822,7.202,0.0,5092,1.0,400,0,0,5092,0,0,5092,0,,,,,,
solana,0.0,6,25,72743.04,210.24,135.7844480399898,217.191877818793,231.46580561458995,0.0,525.6,1.3835,7.4907,0.0,5256,1.0,400,0,0,5256,0,0,5256,0,,,,,,
solana,0.0,7,25,72397.04,209.24,151.00526651163386,221.45196275965702,244.4022569128534,0.0,523.1,1.4272,6.8617,0.0,5231,1.0,400,0,0,5231,0,0,5231,0,,,,,,
solana,0.0,8,25,72992.16,210.96,145.23003098305253,215.16690263041198,228.15608219359143,0.0,527.4,1.3737,7.579,0.0,5274,1.0,400,0,0,5274,0,0,5274,0,,,,,,
solana,0.0,9,25,72092.56,208.36,139.88892943326758,215.80036005475955,228.3397369279312,0.0,520.9000000000001,1.1832,7.5242,0.0,5209,1.0,400,0,0,5209,0,0,5209,0,,,,,,
solana,0.0,10,25,72189.44,208.64,153.4557111875863,215.53374779980172,235.01181126014671,0.0,521.5999999999999,1.2508,7.0837,0.0,5216,1.0,400,0,0,5216,0,0,5216,0,,,,,,
solana,0.05,1,25,105582.64,209.16,141.87243606975548,208.26424933970054,237.72164988112448,0.0,522.9,1.7916,11.4543,0.0,4988,0.953910881621725,400,0,0,5229,0,0,5229,0,173,49,19,0.033084719831707785,0.009370816599732263,0.003633581946834959
solana,0.05,2,25,107704.68,210.0,177.71333341050192,247.05366769547297,277.1245842957593,0.04,525.0,2.3358,11.2897,0.0,4997,0.9518095238095238,400,0,0,5250,0,0,5250,0,187,44,22,0.03561904761904762,0.008380952380952381,0.004190476190476191
solana,0.05,3,25,110554.88,207.8,141.69243131963987,210.26666960770916,238.62248290174702,0.0,519.5,2.219,11.4794,0.0,4936,0.9501443695861406,400,0,0,5195,0,0,5195,0,187,45,27,0.03599615014436958,0.008662175168431183,0.00519730510105871
solana,0.05,4,25,115659.24,207.72,142.89214546652065,211.47772988475907,230.53942207290126,0.0,519.3,2.1367,9.3661,0.0,4900,0.943577893317928,400,0,0,5193,0,0,5193,0,203,62,28,0.03909108415174273,0.011939148854226844,0.005391873676102446
solana,0.05,5,25,107469.0,203.68,148.1524184998057,217.02264237400183,235.43946407138515,0.0,509.20000000000005,2.0383,11.3689,0.0,4838,0.9501178318931658,400,0,0,5092,0,0,5092,0,172,61,21,0.03377847604084839,0.011979575805184604,0.004124116260801257
solana,0.05,6,25,111610.6,210.24,120.57744187764318,198.07261717286877,207.88058551788336,0.0,525.6,2.1594,13.1655,0.0,5006,0.9524353120243532,400,0,0,5256,0,0,5256,0,173,50,27,0.03291476407914764,0.009512937595129375,0.005136986301369863
solana,0.05,7,25,110296.32,209.24,160.22854028875867,234.64399843917178,252.62326657157348,0.0,523.1,2.1522,12.6343,0.0,4943,0.9449436054291722,400,0,0,5231,0,0,5231,0,223,41,24,0.04263047218505066,0.007837889504874785,0.0045880328809023135
solana,0.05,8,25,111301.04,210.96,165.8135348604194,232.58580279084413,249.16111906901995,0.0,527.4,2.1397,11.6384,0.0,5031,0.9539249146757679,400,0,0,5274,0,0,5274,0,167,49,27,0.031664770572620404,0.009290860826697004,0.005119453924914676
solana,0.05,9,25,104620.04,208.36,135.82529512248985,220.12720388925015,237.67366076987253,0.0,520.9000000000001,1.6724,13.4175,0.0,4957,0.951622192359378,400,0,0,5209,0,0,5209,0,193,40,19,0.0370512574390478,0.007679017085813016,0.0036475331157611824
solana,0.05,10,25,111592.48,208.64,146.85955567755965,207.38295969250674,229.8042828052973,0.0,521.5999999999999,1.9872,11.3661,0.0,4970,0.9528374233128835,400,0,0,5216,0,0,5216,0,167,51,28,0.032016871165644174,0.009777607361963191,0.005368098159509203
solana,0.1,1,25,149768.16,209.16,143.23781135997876,215.31779306845968,233.10165311196425,0.0,522.9,2.6091,13.7083,0.0,4715,0.9017020462803595,400,0,0,5229,0,0,5229,0,355,109,50,0.06789061005928476,0.02084528590552687,0.009562057754828839
solana,0.1,2,25,151676.16,210.0,172.2802586701646,244.8613617485396,268.0858916929382,0.0,525.0,3.2809,22.2883,0.0,4716,0.8982857142857142,400,0,0,5250,0,0,5250,0,372,112,50,0.07085714285714285,0.021333333333333333,0.009523809523809525
solana,0.1,3,25,144482.24,207.8,137.17269260814666,205.16791418074982,231.9597473156401,0.0,519.5,2.9054,14.9577,0.0,4695,0.9037536092396535,400,0,0,5195,0,0,5195,0,368,82,50,0.07083734359961502,0.015784408084696822,0.009624639076034648
solana,0.1,4,25,154700.32,207.72,145.42581402929625,206.5456024540468,224.00565254743168,0.0,519.3,2.8577,17.2396,0.0,4646,0.8946658963989986,400,0,0,5193,0,0,5193,0,374,120,53,0.07202002695936838,0.023108030040439053,0.010206046601193916
solana,0.1,5,25,142579.68,203.68,175.51889592173188,240.74145875425734,254.592414678707,0.0,509.20000000000005,2.7096,15.7225,0.0,4599,0.9031814611154753,400,0,0,5092,0,0,5092,0,339,111,43,0.06657501963864886,0.021798900235663787,0.008444619010212097
solana,0.1,6,25,147239.56,210.24,133.99641067996038,207.59971807078483,222.44300907247896,0.0,525.6,2.7674,18.8044,0.0,4742,0.90220700152207,400,0,0,5256,0,0,5256,0,365,102,47,0.06944444444444445,0.019406392694063926,0.008942161339421613
solana,0.1,7,25,153201.84,209.24,163.31286171773266,241.91809346207927,254.8966354026566,0.0,523.1,3.0232,15.0304,0.0,4658,0.8904607149684572,400,0,0,5231,0,0,5231,0,424,96,53,0.08105524756260753,0.018352131523609254,0.010131905945325941
solana,0.1,8,25,145131.68,210.96,154.32996345974905,213.92619180064202,238.5942621459471,0.0,527.4,2.7125,15.6731,0.0,4782,0.906712172923777,400,0,0,5274,0,0,5274,0,347,99,46,0.0657944634053849,0.01877133105802048,0.008722032612817596
solana,0.1,9,25,145571.96,208.36,151.396685925334,230.27071943949713,251.25736630100658,0.0,520.9000000000001,2.3529,15.802,0.0,4674,0.8972931464772509,400,0,0,5209,0,0,5209,0,398,91,46,0.07640622000383951,0.01746976387022461,0.008830869648684968
solana,0.1,10,25,151740.12,208.64,156.64732088613565,221.3777657858625,239.7513694847039,0.0,521.5999999999999,2.78,13.3989,0.0,4728,0.906441717791411,400,0,0,5216,0,0,5216,0,333,96,59,0.0638420245398773,0.018404907975460124,0.011311349693251534
solana,0.15,1,25,183575.6,209.16,150.76565669885608,213.72909640829178,234.9457654549478,0.0,522.9,3.1608,17.6496,0.0,4477,0.8561866513673743,400,0,0,5229,0,0,5229,0,523,159,70,0.10001912411550966,0.030407343660355707,0.013386880856760375
solana,0.15,2,25,191837.04,210.0,172.35496740003856,247.215444397613,271.1525150970709,0.0,525.0,4.1217,22.8825,0.0,4453,0.8481904761904762,400,0,0,5250,0,0,5250,0,548,174,75,0.10438095238095238,0.03314285714285714,0.014285714285714285
solana,0.15,3,25,176698.96,207.8,142.28978277929943,216.92878030414695,244.79034309840716,0.0,519.5,3.3285,17.3175,0.0,4427,0.8521655437921078,400,0,0,5195,0,0,5195,0,563,143,62,0.10837343599615014,0.027526467757459094,0.011934552454282965
solana,0.15,4,25,190992.08,207.72,164.99247346617437,244.8391920556443,264.90588177557004,0.0,519.3,3.5795,27.153,0.0,4394,0.8461390333140767,400,0,0,5193,0,0,5193,0,564,156,79,0.10860774119006354,0.03004043905257077,0.015212786443289043
solana,0.15,5,25,191134.6,203.68,175.3809167490372,238.26294648514872,263.4117233361865,0.04,509.20000000000005,3.7849,18.1729,0.0,4295,0.8434799685781619,400,0,0,5092,0,0,5092,0,554,163,80,0.10879811468970935,0.032010997643362134,0.015710919088766692
solana,0.15,6,25,186883.28,210.24,150.06068443403953,225.3668771392637,240.61650766264196,0.0,525.6,3.4575,21.134,0.0,4454,0.8474124809741248,400,0,0,5256,0,0,5256,0,573,159,70,0.10901826484018265,0.030251141552511414,0.013318112633181126
solana,0.15,7,25,188953.12,209.24,166.47656537069,243.83297834012748,260.38601607219266,0.0,523.1,3.6964,16.0409,0.0,4398,0.8407570254253489,400,0,0,5231,0,0,5231,0,616,142,75,0.11775951060982603,0.02714586121200535,0.014337602752819728
solana,0.15,8,25,187715.56,210.96,168.31470777248975,240.2813350583071,257.6381645538009,0.0,527.4,3.4764,19.7574,0.0,4511,0.8553280242700038,400,0,0,5274,0,0,5274,0,521,170,72,0.0987864998103906,0.03223359878649981,0.013651877133105802
solana,0.15,9,25,181575.16,208.36,146.9637070529785,225.6566726478845,239.37461547736658,0.0,520.9000000000001,2.9781,17.9641,0.0,4439,0.8521789210980995,400,0,0,5209,0,0,5209,0,563,136,71,0.1080821654828182,0.026108658091764256,0.013630255327318104
solana,0.15,10,25,194160.44,208.64,155.6829453956194,223.20188407106212,241.4177662469684,0.0,521.5999999999999,3.6339,17.1917,0.0,4471,0.857170245398773,400,0,0,5216,0,0,5216,0,511,142,92,0.09796779141104295,0.027223926380368097,0.01763803680981595
solana,0.2,1,25,227082.68,209.16,136.36761370303043,215.84377224760473,234.24499142385793,0.0,522.9,4.001,21.5416,0.0,4206,0.8043602983362019,400,0,0,5229,0,0,5229,0,710,211,102,0.13578122011856952,0.0403518837253777,0.019506597819850834
solana,0.2,2,25,230006.36,210.0,168.78713065953417,253.4087582014343,276.3168049391124,0.0,525.0,4.8651,23.4282,0.0,4179,0.796,400,0,0,5250,0,0,5250,0,740,235,96,0.14095238095238094,0.04476190476190476,0.018285714285714287
solana,0.2,3,25,218825.84,207.8,157.13213995966348,230.26428228337153,261.4686146352386,0.04,519.5,4.2629,19.6896,0.0,4177,0.8040423484119346,400,0,0,5195,0,0,5195,0,730,194,94,0.14051973051010588,0.03734359961501444,0.01809432146294514
solana,0.2,4,25,229094.32,207.72,175.15877160819258,242.61010200039877,260.38745059314743,0.0,519.3,4.3163,31.1581,0.0,4154,0.7999229732331985,400,0,0,5193,0,0,5193,0,725,209,105,0.13961101482765262,0.04024648565376468,0.020219526285384173
solana,0.2,5,25,229226.96,203.68,165.53505204212698,241.00407437942076,258.6008595762956,0.0,509.20000000000005,4.5005,18.6082,0.0,4041,0.7935978004713276,400,0,0,5092,0,0,5092,0,725,223,103,0.14238020424194817,0.043794186959937156,0.020227808326787118
solana,0.2,6,25,231742.36,210.24,133.4972020944001,213.15294381575353,228.10917014083722,0.0,525.6,4.3248,25.0885,0.0,4169,0.7931887366818874,400,0,0,5256,0,0,5256,0,764,223,100,0.14535768645357686,0.042427701674277014,0.01902587519025875
solana,0.2,7,25,230083.48,209.24,167.4029823999099,249.49391484116376,266.4720729101496,0.0,523.1,4.4888,19.5686,0.0,4119,0.7874211431848595,400,0,0,5231,0,0,5231,0,811,200,101,0.15503727776715734,0.03823360734085261,0.019307971707130566
solana,0.2,8,25,232314.28,210.96,173.51075916716388,241.22000603161683,255.4368708905349,0.0,527.4,4.3631,25.7287,0.0,4236,0.8031854379977247,400,0,0,5274,0,0,5274,0,703,232,103,0.13329541145240803,0.043989381873340914,0.019529768676526355
solana,0.2,9,25,219193.2,208.36,150.6001734512614,238.16966790082412,250.4711098594753,0.0,520.9000000000001,3.5652,22.0536,0.0,4183,0.8030332117488962,400,0,0,5209,0,0,5209,0,740,192,94,0.1420618160875408,0.03685928201190248,0.018045690151660587
solana,0.2,10,25,231745.48,208.64,162.31356151266343,230.26502297972317,252.75033766513945,0.0,521.5999999999999,4.2585,22.7323,0.0,4208,0.8067484662576687,400,0,0,5216,0,0,5216,0,698,195,115,0.13381901840490798,0.037384969325153374,0.02204754601226994
solana,0.25,1,25,271275.64,209.16,145.27434740536935,220.9865591006743,240.99560885393328,0.0,522.9,4.8886,26.3327,0.0,3942,0.7538726333907056,400,0,0,5229,0,0,5229,0,889,262,136,0.17001338688085676,0.050105182635303114,0.02600879709313444
solana,0.25,2,25,264818.72,210.0,180.55131060621446,261.2765932421915,283.3768220589181,0.04,525.0,5.577,31.0072,0.0,3937,0.7499047619047619,400,0,0,5250,0,0,5250,0,910,286,117,0.17333333333333334,0.05447619047619048,0.022285714285714287
solana,0.25,3,25,259792.52,207.8,144.01631168467395,230.04776054751946,261.7220087739004,0.0,519.5,5.1558,24.4338,0.0,3918,0.754186717998075,400,0,0,5195,0,0,5195,0,911,242,124,0.1753609239653513,0.0465832531280077,0.02386910490856593
solana,0.25,4,25,269894.76,207.72,171.09329391279454,254.4603807040914,269.01673604962474,0.0,519.3,5.1877,33.2229,0.0,3916,0.7540920469863277,400,0,0,5193,0,0,5193,0,881,260,136,0.16965145388022337,0.05006739842095128,0.026189100712497592
solana,0.25,5,25,274828.12,203.68,174.46902567555688,252.6641556615641,262.22873090675336,0.0,509.20000000000005,5.4284,25.0701,0.0,3759,0.7382168106834249,400,0,0,5092,0,0,5092,0,910,289,134,0.17871170463472114,0.05675569520816968,0.02631578947368421
solana,0.25,6,25,265009.44,210.24,156.46517735058677,226.9349659045669,245.65682356655395,0.0,525.6,4.8995,29.1862,0.0,3917,0.7452435312024354,400,0,0,5256,0,0,5256,0,952,268,119,0.1811263318112633,0.05098934550989345,0.022640791476407914
solana,0.25,7,25,264505.8,209.24,169.40789992968774,250.56833296539892,267.6464200878148,0.08,523.1,5.09,23.7558,0.0,3870,0.739820302045498,400,0,0,5231,0,0,5231,0,987,254,120,0.18868285222710762,0.048556681322882815,0.022940164404511566
solana,0.25,8,25,269618.28,210.96,191.16425110597157,269.82615402013914,285.57071850814754,0.04,527.4,5.1324,26.1756,0.0,3995,0.7574895714827455,400,0,0,5274,0,0,5274,0,874,275,130,0.16571861964353432,0.05214258627227911,0.02464922260144103
solana,0.25,9,25,251661.96,208.36,138.73292561112692,227.40627968055364,243.56957835846035,0.0,520.9000000000001,4.0331,24.4134,0.0,3934,0.7552313303897101,400,0,0,5209,0,0,5209,0,926,237,112,0.1777692455365713,0.04549817623344212,0.021501247840276443
solana,0.25,10,25,274406.36,208.64,169.07271751720134,239.18568050728874,258.0659066302684,0.04,521.5999999999999,4.945,22.9926,0.0,3915,0.7505751533742331,400,0,0,5216,0,0,5216,0,899,262,140,0.1723542944785276,0.05023006134969325,0.026840490797546013
solana,0.3,1,25,312944.0,209.16,168.3442305402713,240.42848355763735,263.9905018740053,0.0,522.9,5.6426,30.1077,0.0,3668,0.7014725568942436,400,0,0,5229,0,0,5229,0,1083,313,165,0.20711417096959264,0.059858481545228534,0.03155479059093517
solana,0.3,2,25,298675.12,210.0,188.44920937347328,256.9296498672558,282.88900664418384,0.0,525.0,6.2794,35.0938,0.0,3676,0.7001904761904761,400,0,0,5250,0,0,5250,0,1113,323,138,0.212,0.06152380952380952,0.026285714285714287
solana,0.3,3,25,295482.56,207.8,170.229275136316,246.93933786060057,273.02152022824134,0.04,519.5,5.7582,33.0126,0.0,3660,0.7045235803657363,400,0,0,5195,0,0,5195,0,1091,301,143,0.21000962463907605,0.05794032723772859,0.027526467757459094
solana,0.3,4,25,309509.32,207.72,168.9633874262601,246.12376771124298,266.4332590811071,0.0,519.3,5.9893,38.9943,0.0,3677,0.7080685538224533,400,0,0,5193,0,0,5193,0,1040,311,165,0.20026959368380512,0.05988831118813788,0.0317735413056037
