chain,pqc_fraction,seed,num_blocks,avg_block_size_bytes,avg_txs_per_block,avg_propagation_p50_ms,avg_propagation_p90_ms,avg_propagation_p95_ms,stale_rate,effective_tps,avg_verification_time_ms,max_verification_time_ms,verification_failure_rate,algo_counts_Ed25519,algo_distribution_Ed25519,block_time_ms,mempool_final_size_bytes,mempool_final_tx_count,mempool_total_accepted,mempool_total_evicted,mempool_total_rejected,total_tx_generated,verification_failures,algo_counts_ML-DSA-44,algo_counts_ML-DSA-65,algo_distribution_ML-DSA-44,algo_distribution_ML-DSA-65
solana,0.0,1,25,577307.92,1668.52,106.1857606518794,182.77245151128457,200.30430565888346,0.0,4171.3,10.0918,58.9714,0.0,41713,1.0,400,0,0,41713,0,0,41713,0,,,,
solana,0.0,2,25,575453.36,1663.16,118.08802445703887,197.02357115666547,224.62834805055508,0.0,4157.900000000001,12.564,58.625,0.0,41579,1.0,400,0,0,41579,0,0,41579,0,,,,
solana,0.0,3,25,574152.4,1659.4,104.44221210622771,171.2135880844029,192.49625311479684,0.0,4148.5,11.2834,59.3084,0.0,41485,1.0,400,0,0,41485,0,0,41485,0,,,,
solana,0.0,4,25,571218.32,1650.92,98.8019326962803,188.386338103487,210.5516275503032,0.0,4127.3,10.5942,60.04,0.0,41273,1.0,400,0,0,41273,0,0,41273,0,,,,
solana,0.0,5,25,575162.72,1662.32,123.13216338501205,194.28736846128496,216.51042528317257,0.0,4155.8,11.2912,59.2578,0.0,41558,1.0,400,0,0,41558,0,0,41558,0,,,,
solana,0.0,6,25,577321.76,1668.56,100.84324808496666,187.67518753042853,203.36070881960575,0.0,4171.4,10.9706,58.9758,0.0,41714,1.0,400,0,0,41714,0,0,41714,0,,,,
solana,0.0,7,25,580491.12,1677.72,113.97246370538234,192.18213164283839,216.3877849488562,0.0,4194.3,11.4323,57.7437,0.0,41943,1.0,400,0,0,41943,0,0,41943,0,,,,
solana,0.0,8,25,576865.04,1667.24,117.23687970389719,180.58622448809842,197.02437836470733,0.0,4168.1,10.8532,60.4082,0.0,41681,1.0,400,0,0,41681,0,0,41681,0,,,,
solana,0.0,9,25,578428.96,1671.76,106.61128044758826,184.00883942348668,209.8611525324775,0.0,4179.4,9.4958,59.4336,0.0,41794,1.0,400,0,0,41794,0,0,41794,0,,,,
solana,0.0,10,25,577072.64,1667.84,104.1352838756825,178.28736980056746,190.32762781760044,0.0,4169.599999999999,10.003,59.6071,0.0,41696,1.0,400,0,0,41696,0,0,41696,0,,,,
solana,0.05,1,25,925283.68,1668.52,112.19968777056191,189.1653425289635,213.16926629111524,0.0,4171.3,11.4775,66.1396,0.0,39656,0.9506868362381032,400,0,0,41713,0,0,41713,0,1259,798,0.03018243712991154,0.019130726631985232
solana,0.05,2,25,928709.72,1663.16,121.54120880626459,206.6510430117271,225.09291928065358,0.0,4157.900000000001,14.3251,66.2282,0.0,39492,0.9498063926501359,400,0,0,41579,0,0,41579,0,1274,813,0.03064046754371197,0.019553139806152146
solana,0.05,3,25,922602.52,1659.4,108.61747777998252,188.46354609703494,219.01499603035393,0.0,4148.5,12.849,67.1252,0.0,39426,0.9503676027479812,400,0,0,41485,0,0,41485,0,1258,801,0.0303242135711703,0.0193081836808485
solana,0.05,4,25,928711.12,1650.92,109.47827326903275,192.57843443233094,215.92694201423237,0.0,4127.3,12.1388,69.4808,0.0,39180,0.9492888813510043,400,0,0,41273,0,0,41273,0,1225,868,0.0296804206139607,0.02103069803503501
solana,0.05,5,25,928668.96,1662.32,114.99645301349761,195.8465552704531,206.21330537127236,0.0,4155.8,12.8826,68.1016,0.0,39484,0.9500938447471005,400,0,0,41558,0,0,41558,0,1226,848,0.029500938447471006,0.020405216805428558
solana,0.05,6,25,933723.36,1668.56,102.43991022807317,178.6475476251918,200.8521375649157,0.0,4171.4,12.5178,66.7891,0.0,39610,0.9495612983650573,400,0,0,41714,0,0,41714,0,1280,824,0.030685141679052598,0.01975355995589011
solana,0.05,7,25,937995.08,1677.72,139.7583915824193,212.5310128229166,237.0824013368632,0.0,4194.3,13.0122,66.0939,0.0,39831,0.9496459480723839,400,0,0,41943,0,0,41943,0,1289,823,0.03073218415468612,0.01962186777292993
solana,0.05,8,25,923484.12,1667.24,116.57854712631685,190.6816006310186,212.4589331003327,0.0,4168.1,12.343,68.4154,0.0,39643,0.95110481994194,400,0,0,41681,0,0,41681,0,1217,821,0.02919795590316931,0.019697224154890718
solana,0.05,9,25,939874.72,1671.76,119.05181498709393,197.16392952639347,214.23563897257085,0.04,4179.4,10.8263,66.7354,0.0,39657,0.9488682586017132,400,0,0,41794,0,0,41794,0,1309,828,0.03132028520840312,0.019811456189883715
solana,0.05,10,25,922499.84,1667.84,108.55378261947432,185.00990411642545,199.96573407081294,0.0,4169.599999999999,11.3793,67.0812,0.0,39654,0.9510264773599386,400,0,0,41696,0,0,41696,0,1250,792,0.029978894858019953,0.018994627782041442
solana,0.1,1,25,1282979.32,1668.52,117.76211827592988,189.76090985967778,214.3046381515114,0.0,4171.3,12.8958,74.6011,0.0,37541,0.8999832186608492,400,0,0,41713,0,0,41713,0,2555,1617,0.06125188790065447,0.038764893438496394
solana,0.1,2,25,1278773.12,1663.16,130.0965334807819,222.40667896959337,246.47420392395995,0.0,4157.900000000001,16.0729,76.087,0.0,37432,0.9002621515668967,400,0,0,41579,0,0,41579,0,2509,1638,0.060342961591187856,0.03939488684191539
